"","Estimate","Std. Error","t value","Pr(>|t|)"
"teamANA",-92.3127643292997,4.48623871513959,-20.5768730089583,3.47798216704213e-64
"teamARI",-86.6889076684548,4.4807583042199,-19.3469278596912,6.61979548471871e-59
"teamBOS",-80.6703287504554,4.55369627713572,-17.7153511874527,6.4978796176925e-52
"teamBUF",-89.4768461469,4.37809049952775,-20.4374135611293,1.37897632025108e-63
"teamCAR",-81.5413314364213,4.67572897259758,-17.4392767233301,9.79698710381892e-51
"teamCBJ",-93.3076169258609,4.43332725927464,-21.0468597215915,3.36362998745725e-66
"teamCGY",-84.4807225660478,4.5314777268272,-18.6430845871549,6.9378938884548e-56
"teamCHI",-83.9495332098728,4.45706612012815,-18.8351554469331,1.04085249798485e-56
"teamCOL",-83.1914515803869,4.40765538955446,-18.8743094066608,7.0697446049105e-57
"teamDAL",-89.773392997566,4.49548464422419,-19.9696807134926,1.40282596097344e-61
"teamDET",-93.4873492827322,4.33508443465123,-21.5652891407301,2.03371800290917e-68
"teamEDM",-82.1217541578539,4.37855939849913,-18.7554276838184,2.28774319573592e-56
"teamFLA",-79.3373622999218,4.63463347005764,-17.1183682188648,2.28050214741057e-49
"teamLAK",-90.6853884004905,4.48969742811514,-20.198552319496,1.46066406801958e-62
"teamMIN",-84.4164593381206,4.55218889082412,-18.5441468626839,1.84261069084008e-55
"teamMTL",-87.7814306931392,4.44892459160836,-19.7309324726955,1.4861394764765e-60
"teamNJD",-84.5693934207366,4.22249135547449,-20.0283165319194,7.85742611802274e-62
"teamNSH",-85.9219612688404,4.40156149028734,-19.5207908508013,1.18673689130222e-59
"teamNYI",-85.0553064249997,4.34395589045609,-19.5801496538837,6.59907993970021e-60
"teamNYR",-80.5366184401452,4.45645300482606,-18.0719101834865,1.94194010112801e-53
"teamOTT",-87.4019938339654,4.34076222286255,-20.1351719690206,2.73268714880401e-62
"teamPHI",-81.8251834877818,4.26145261694846,-19.2012421216067,2.79437202041193e-58
"teamPIT",-84.2737828988483,4.43248548261798,-19.0127600483585,1.80009341542523e-57
"teamSJS",-86.8394285317393,4.47302835683476,-19.4140125221986,3.41052158383674e-59
"teamSTL",-84.4816125555268,4.41655925611199,-19.1283774668288,5.74197888256233e-58
"teamTBL",-80.3880017973954,4.60665367197643,-17.4504114095701,8.78229487387938e-51
"teamTOR",-81.0840027128601,4.4881968630951,-18.0660530690144,2.05731372801573e-53
"teamVAN",-80.4929591007479,4.20505564611703,-19.1419486148954,5.02121124054872e-58
"teamVEG",-87.0108709371517,4.74357247456945,-18.3428990288694,1.34246022251963e-54
"teamWPG",-82.278692650117,4.49708283120657,-18.296014491697,2.1317845641033e-54
"teamWSH",-81.2978746423937,4.59298466671337,-17.7004454710206,7.52386829487911e-52
"gp",0.356525957753535,0.0362915635571494,9.8239348985916,1.70937055956537e-20
"toi_avg",4.37055964603497,0.208141678984059,20.9980032224574,5.44620883875244e-66
"shot_pct",0.646996436468354,0.126880973470261,5.09923922218331,5.33728602709e-07
"off_zs_pct",0.559179866824728,0.0749037570471283,7.46531133909479,5.50209177156921e-13
