"","TC1","TC3","TC2"
"pim_60",-0.549317748942553,0.0285861113198721,0.197745727092972
"ev_goals_60",0.36410788979679,0.885365756910717,-0.181877909233135
"ev_assists_60",0.610319282872518,0.45883283151748,0.0144687331034828
"shot_att_60",0.600466290406629,0.298433615490573,-0.442733191984411
"shot_pct",0.238662581199514,0.842733656293999,-0.100093070444066
"thru_pct",0.0113314883083949,0.564746231214599,0.135139865503342
"ev_60",-0.533495901077204,-0.322831466770739,-0.195725055117673
"toi_even",0.743792551349166,0.317907196217547,0.114908889529511
"blk_60",-0.204411091093031,-0.240122190071335,0.689266269330108
"hit_60",-0.654950122877397,-0.156601136092811,0.151083765506223
"cf_60",0.652859378902559,0.253723492903518,-0.421669198108531
"ca_60",0.00100676985814317,-0.104541687639486,0.720401076225232
"oishot_pct",0.324185898252351,0.52065524614507,0.124331885570433
"oisv_pct",-0.304502894347837,-0.0169428194402574,0.216630834389152
"off_zs_pct",0.108879873489454,-0.0256541210457622,-0.783622551482424
"takeaway_60",0.457122006787395,0.245247003562181,-0.181789544953762
"giveaway_60",0.369847387843383,-0.100688300291076,0.124223611361882
